"date","start_time","observation_time.min.sec.","observation_time.sec.","individualID","sex","gesture","mate.parent_presence","ceased_wing.fluttering","ID","mate.parent_presence.num"
"6/20/2025","13h59","12min49",769,"L20","FLEDG",0,"1",NA,"L20",1
"6/25/2025","11h44","1min47",107,"C25","FLEDG",0,"1",NA,"C25",1
"6/25/2025","11h51","8min56",536,"D25","FLEDG",1,"1",1,"D25",1
"6/25/2025","11h51","8min56",536,"D25","FLEDG",0,"0",NA,"D25",0
"6/26/2025","12h32","18min37",1117,"B26","FLEDG",1,"1",0,"B26",1
"6/26/2025","12h32","18min37",1117,"B26","FLEDG",1,"1",1,"B26",1
"6/26/2025","12h32","18min37",1117,"B26","FLEDG",1,"1",1,"B26",1
"6/26/2025","12h32","18min37",1117,"B26","FLEDG",1,"1",1,"B26",1
"6/26/2025","12h32","18min37",1117,"B26","FLEDG",1,"1",NA,"B26",1
"6/26/2025","12h32","18min37",1117,"B26","FLEDG",0,"0",NA,"B26",0
"6/26/2025","12h32","18min37",1117,"B26","FLEDG",0,"0",NA,"B26",0
"6/26/2025","12h32","18min37",1117,"B26","FLEDG",0,"0",NA,"B26",0
"6/26/2025","12h32","18min37",1117,"B26","FLEDG",0,"0",NA,"B26",0
"6/26/2025","12h32","18min37",1117,"B26","FLEDG",0,"0",NA,"B26",0
"6/26/2025","13h30","4min23",263,"D28","FLEDG",1,"1",1,"D28",1
"6/26/2025","13h30","4min23",263,"D28","FLEDG",1,"1",1,"D28",1
"6/26/2025","13h30","4min23",263,"D28","FLEDG",1,"1",NA,"D28",1
"6/26/2025","13h30","4min23",263,"D28","FLEDG",0,"1",NA,"D28",1
"6/26/2025","13h30","4min23",263,"D28","FLEDG",0,"0",NA,"D28",0
"6/26/2025","13h30","4min23",263,"D28","FLEDG",0,"0",NA,"D28",0
"6/26/2025","13h30","4min23",263,"D28","FLEDG",0,"0",NA,"D28",0
"6/26/2025","13h30","4min23",263,"D28","FLEDG",0,"0",NA,"D28",0
"6/26/2025","13h55","10min29",629,"E28","FLEDG",1,"1",1,"E28",1
"6/26/2025","13h55","10min29",629,"E28","FLEDG",0,"0",NA,"E28",0
"6/26/2025","13h55","10min29",629,"E28","FLEDG",0,"0",NA,"E28",0
